MethodDuration,SearchTime,MeanTime,ConfidenceInterval_i,ConfidenceInterval_f
0,0.001995,1.995e-005,1,1
0,0.001999,1.999e-005,1,1
0,0.005,5e-005,1,1
0,0.001996,1.996e-005,1,1
0,0.001999,1.999e-005,1,1
0,0.003001,3.001e-005,1,1
0,0.002973,2.973e-005,1,1
0,0.002995,2.995e-005,1,1
0,0.001999,1.999e-005,1,1
0,0.005008,5.008e-005,1,1
0,0.003009,3.009e-005,1,1
0.001,0.001994,1.994e-005,1,1
0,0.001993,1.993e-005,1,1
0,0.002,2e-005,1,1
0,0.004019,4.019e-005,1,1
0.001005,0.002001,2.001e-005,1,1
0,0.002002,2.002e-005,1,1
0,0.002013,2.013e-005,1,1
0.000998,0.001,1e-005,1,1
0,0.002998,2.998e-005,1,1
0,0.00199,1.99e-005,1,1
0,0.002,2e-005,1,1
0,0.001006,1.006e-005,1,1
0.001028,0.00196,1.96e-005,1,1
0,0.001,1e-005,1,1
0,0.002002,2.002e-005,1,1
0,0.001988,1.988e-005,1,1
0.001,0.001,1e-005,1,1
0,0.002,2e-005,1,1
0,0.001996,1.996e-005,1,1
0,0.002,2e-005,1,1
0,0.001002,1.002e-005,1,1
0.001008,0.004018,4.018e-005,1,1
0,0.002,2e-005,1,1
0,0.002,2e-005,1,1
0,0.004022,4.022e-005,1,1
0.001,0.002,2e-005,1,1
0,0.001001,1.001e-005,1,1
0,0.001994,1.994e-005,1,1
0,0.002,2e-005,1,1
0,0.002,2e-005,1,1
0,0.001982,1.982e-005,1,1
0.001,0.000998,9.98e-006,1,1
0,0.001999,1.999e-005,1,1
0,0.002,2e-005,1,1
0,0.001992,1.992e-005,1,1
0,0.002,2e-005,1,1
0,0.001993,1.993e-005,1,1
0,0.001998,1.998e-005,1,1
0,0.002005,2.005e-005,1,1
0,0.002033,2.033e-005,1,1
0,0.002991,2.991e-005,1,1
0.001,0.00099,9.9e-006,1,1
0,0.001006,1.006e-005,1,1
0,0.001001,1.001e-005,1,1
0.001002,0.000997,9.97e-006,1,1
0,0.001985,1.985e-005,1,1
0.001004,0.000997,9.97e-006,1,1
0,0.004007,4.007e-005,1,1
0.001003,0.002001,2.001e-005,1,1
0,0.004022,4.022e-005,1,1
0,0.002,2e-005,1,1
0,0.002005,2.005e-005,1,1
0,0.002011,2.011e-005,1,1
0,0.002999,2.999e-005,1,1
0,0.001999,1.999e-005,1,1
0,0.003966,3.966e-005,1,1
0,0.002,2e-005,1,1
0,0.002992,2.992e-005,1,1
0,0.005008,5.008e-005,1,1
0,0.002,2e-005,1,1
0,0.001998,1.998e-005,1,1
0,0.006015,6.015e-005,1,1
0,0.001999,1.999e-005,1,1
0,0.001999,1.999e-005,1,1
0,0.002001,2.001e-005,1,1
0,0.001998,1.998e-005,1,1
0,0.002004,2.004e-005,1,1
0.001,0.003029,3.029e-005,1,1
0,0.002,2e-005,1,1
0,0.002007,2.007e-005,1,1
0,0.004007,4.007e-005,1,1
0,0.002,2e-005,1,1
0,0.002,2e-005,1,1
0,0.002,2e-005,1,1
0,0.001996,1.996e-005,1,1
0.001,0.000998,9.98e-006,1,1
0,0.002002,2.002e-005,1,1
0,0.001004,1.004e-005,1,1
0.001008,0.000993,9.93e-006,1,1
0,0.001998,1.998e-005,1,1
0,0.002,2e-005,1,1
0,0.000999,9.99e-006,1,1
0,0.001998,1.998e-005,1,1
0,0.002,2e-005,1,1
0,0.002013,2.013e-005,1,1
0,0.001004,1.004e-005,1,1
0,0.001998,1.998e-005,1,1
0,0.001999,1.999e-005,1,1
0,0.001995,1.995e-005,1,1
