MethodDuration,SearchTime,MeanTime,ConfidenceInterval_i,ConfidenceInterval_f
0.000997,0.001999,1.999e-005,1,1
0.001001,0.002004,2.004e-005,1,1
0.001003,0.000999,9.99e-006,1,1
0.000999,0.001998,1.998e-005,1,1
0.001001,0.011001,0.00011001,1,1
0.000998,0.001999,1.999e-005,1,1
0.001001,0.003001,3.001e-005,1,1
0.000997,0.002001,2.001e-005,1,1
0.001,0.002001,2.001e-005,1,1
0.000992,0.001,1e-005,1,1
0.000999,0.002001,2.001e-005,1,1
0.001001,0.005007,5.007e-005,1,1
0.000998,0.001998,1.998e-005,1,1
0.001005,0.001997,1.997e-005,1,1
0.000998,0.000985,9.85e-006,1,1
0.001001,0.000993,9.93e-006,1,1
0.001001,0.001998,1.998e-005,1,1
0.000995,0.001993,1.993e-005,1,1
0.001,0.002006,2.006e-005,1,1
0.000995,0.004019,4.019e-005,1,1
0.001005,0.001995,1.995e-005,1,1
0.001001,0.002,2e-005,1,1
0.001004,0.002,2e-005,1,1
0,0.002,2e-005,1,1
0.001001,0.000999,9.99e-006,1,1
0.001007,0.003004,3.004e-005,1,1
0,0.001992,1.992e-005,1,1
0,0.002001,2.001e-005,1,1
0,0.001999,1.999e-005,1,1
0.001009,0.001991,1.991e-005,1,1
0,0.002,2e-005,1,1
0.000999,0.000999,9.99e-006,1,1
0.000994,0.002,2e-005,1,1
0.001003,0.001997,1.997e-005,1,1
0.001,0.001,1e-005,1,1
0.000972,0.001994,1.994e-005,1,1
0.001,0.002008,2.008e-005,1,1
0.000999,0.003011,3.011e-005,1,1
0,0.002001,2.001e-005,1,1
0.001,0.002,2e-005,1,1
0.001002,0.002026,2.026e-005,1,1
0.000996,0.001994,1.994e-005,1,1
0.001001,0.001,1e-005,1,1
0.001001,0.000999,9.99e-006,1,1
0,0.004011,4.011e-005,1,1
0,0.001999,1.999e-005,1,1
0.001001,0.002007,2.007e-005,1,1
0.001,0.005008,5.008e-005,1,1
0.000998,0.001996,1.996e-005,1,1
0,0.001999,1.999e-005,1,1
0.008995,0.002002,2.002e-005,1,1
0.001005,0.002005,2.005e-005,1,1
0.000999,0.001993,1.993e-005,1,1
0.000997,0.000998,9.98e-006,1,1
0.001002,0.000998,9.98e-006,1,1
0.001001,0.003015,3.015e-005,1,1
0,0.001995,1.995e-005,1,1
0,0.003009,3.009e-005,1,1
0.001018,0.001969,1.969e-005,1,1
0.001996,0.003,3e-005,1,1
0,0.001991,1.991e-005,1,1
0.001,0.002001,2.001e-005,1,1
0,0.002005,2.005e-005,1,1
0.000997,0.001994,1.994e-005,1,1
0.000996,0.002,2e-005,1,1
0.000995,0.002,2e-005,1,1
0.000994,0.001988,1.988e-005,1,1
0.001,0.002008,2.008e-005,1,1
0,0.002002,2.002e-005,1,1
0,0.001993,1.993e-005,1,1
0.001007,0.000995,9.95e-006,1,1
0.001,0.001,1e-005,1,1
0.000992,0.000997,9.97e-006,1,1
0.001001,0.001998,1.998e-005,1,1
0,0.002002,2.002e-005,1,1
0.000992,0.002,2e-005,1,1
0.000998,0.002001,2.001e-005,1,1
0,0.001995,1.995e-005,1,1
0.00098,0.00299,2.99e-005,1,1
0.001,0.002,2e-005,1,1
0.001,0.001995,1.995e-005,1,1
0.000992,0.001997,1.997e-005,1,1
0,0.002,2e-005,1,1
0.001003,0.004,4e-005,1,1
0.001001,0.001997,1.997e-005,1,1
0.001,0.002,2e-005,1,1
0.001007,0.00199,1.99e-005,1,1
0,0.001995,1.995e-005,1,1
0,0.000995,9.95e-006,1,1
0.000996,0.005013,5.013e-005,1,1
0,0.001998,1.998e-005,1,1
0.001002,0.001001,1.001e-005,1,1
0.001986,0.001998,1.998e-005,1,1
0.001001,0.000997,9.97e-006,1,1
0.001004,0.006005,6.005e-005,1,1
0.000993,0.002985,2.985e-005,1,1
0,0.00299,2.99e-005,1,1
0.001004,0.001996,1.996e-005,1,1
0.001,0.001001,1.001e-005,1,1
0.00201,0.002981,2.981e-005,1,1
